ID,Current_Job,Qualification,Years_of_experience,Industry
1406, Influencer and content creator,BSc in Environmental Design,7,Retail
1407, CONTENT CREATORS HUB,BA Business Management ,10,Consumer Products & Services
1408, Content lead ,BSc Social sciences,6,Real Estate
1409, Digital content and community manager,BA.Philosophy ,10,Business Products & Services
1410, Community Manager & Content Creator,Bsc.Economics ,8,Construction
1411, Digital Content Creator,"LLB,Law ",8,Consumer Products & Services
1412, Content Creator ,Bsc.Micro Biology ,3,IT System Development
1413, Content Creator ,Bsc.Computer Science ,5,Advertising & Marketing
1414, Corporate Content creator,Bsc.Biochemistry ,11,Telecommunications
1415, Social Media Manager / Content Creator,Bsc.Economics ,3,Software
1416, Senior social media manager,Bsc.Accounting ,4,Retail
1417, Communications Manager ,Bsc.Biology and Biological Science,5,Retail
1418, Social Media Manager,Bsc.Business Administration and Management ,5,Business Products & Services
1419, Social Media Marketing Manager,Bsc.Marine Biology,5,Advertising & Marketing
1420, Content Manager ,"BA,Linguistics ",4,Security
1421, Social Media Manager ,"BASc, Computer Science",5,Government Services
1422, Content Creator ,B.Eng. Electrical and Electronics Engineering,10,Government Services
1423, Content Manager ,"Bachelor's degree, Systems Engineering",8,Software
1424,Ahmadu ,"Bachelor degree, Banking and Finance",5,Construction
1425, Social Media Executive,"BS, Geophysics",7,Insurance
1426, Social Media Manager and Content ...,"BSc, Computer Science with Economics",7,Advertising & Marketing
1427, Digital Marketing and Content Creator,"BSc, Geography and Environmental Management",8,Human Resources
1428, Social Media Manager ,"BS, Civil and Environmental Engineering",8,Health
1429, Social Media Manager ,"BE, Mechanical Engineering",10,Advertising & Marketing
1430, Social Media Manager ,B.s.c Mass communications ,8,Retail
1431, Social Media Manager ,"Bsc, Computer Science",3,Consumer Products & Services
1432, University of Lagos,"BTech, Computer Engineering",8,Construction
1433, Community Manager ,"BS, Agricultural and Environmental Engineering",4,Government Services
1434, Social Media Manager,"BSc, Computer Science",10,Advertising & Marketing
1435, Content Creator ,B.Sc. Electrical and Electronics Engineering,5,Food & Beverage
1436, Social Media Copywriter,"BE, Computer Engineering",8,Food & Beverage
1437, Social Media Manager,"BE, Computer Engineering",10,Construction
1438, Social Media Manager ,"Bachelor's degree, Economics",6,Software
1439, Graphics Designer/Content Creator,"Bachelor's degree, Computer Engineering",10,Construction
1440, Digital Media Strategist ,"BBA, Business Analytics",8,Food & Beverage
1441, Digital Marketer and Content Creator,"BS, Computer Science",6,Logistics & Transportation
1442, Digital Marketing Manager ,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",9,Financial Services
1443, Social Media Manager,"Bachelor of Agriculture, Agricultural Economics",12,Advertising & Marketing
1444, Content creator ,"Bachelor's degree, Accounting",10,Software
1445, Producer ,"BA, English Language and Literature",10,IT Management
1446, Digital Marketing Specialist ,"BE, mechantronics engineering",5,Logistics & Transportation
1447, Digital Marketer ,"BE, Mechanical Engineering",8,Education
1448, Manager ,"BTech, Computer Science",9,Manufacturing
1449, Technology Officer ,"Bachelor’s Degree, Electrical and Electronics Engineering",7,Insurance
1450, Senior Digital Marketing Executive,"BSc. (hons), Electrical & Electronic Engineering",7,Manufacturing
1451, SquaredFinancial,BSc Computer Science,5,Manufacturing
1452, Deputy Communications Manager,B Tech. in Quantity Surveying,6,Construction
1453, Social Media Manager ,"BS, Computer Science",10,Government Services
1454, Social Media Manager ,"BS, Computer Science",5,Health
1455, Social Media Manager ,"Bachelor's degree, Computer Science",3,Software
1456, Social Media Marketing Manager ,"BE, Mechanical Engineering",10,Software
1457," Manager, Digital Content and Social Media","Bachelor's degree, Mass Communication/Media Studies",7,Software
1458, Social Media Manager ,"Bachelor of Science (B.Sc.), Computer Science",10,Construction
1459, EbonyLife Media,B.Sc. Computer Science,5,Media
1460, Head of Content ,"Bachelor of Engineering - BE, Electronic Engineering",10,Financial Services
1461, Product Marketing Manager,"BSc, Cell Biology, Molecular Biology, and Genetics",5,Media
1462, Social Media Manager,"BS, Biochemistry",11,Consumer Products & Services
1463, Content Creator ,"Chemistry/Education , Education",5,Business Products & Services
1464, Creative & Design Executive,"BEd, Guidance and counseling ",5,Advertising & Marketing
1465, Digital Account Executive ,"Bachelor's degree, Biochemistry",10,Retail
1466, Social Media Manager ,LLB. Law,10,IT Management
1467, Product Marketing Associate ,"B. Fisheries, Aquaculture",15,Health
1468, Maticline Industries Ltd,"BS, Biology/Biological Sciences, 
",4,Software
1469," Deputy Manager, Copy ","Bachelor's degree, Economics",7,Financial Services
1470, Web Manager and Content Creator,"Bachelor's degree, Natural Sciences( Microbiology)
",10,Computer Hardware
1471, Growth Analyst ,"BSc, Accounting",10,Software
1472, Model Manager,B.Sc Accounting,7,Construction
1473, Social Media Manager ,"BA, Mass Communication/Media Studies",10,IT System Development
1474, Digital content creator and social media ...,"BS, Accounting",4,Government Services
1475, Social Media Manager ,"Bachelor of Laws - LLB, Law",5,Software
1476, Social Media Manager ,"BS, Geography",5,Advertising & Marketing
1477, Digital Marketing Manager,"Bachelor's degree, civil engineering",8,Advertising & Marketing
1478, Social Media/Community Manager,"BEng, Electronic & Computer Engineering ",3,Health
1479, Health Educator & Content creator Volunteer,"BE, Electrical and Electronics Engineering",5,Government Services
1480, Digital Marketing Manager ,"BSc, Biochemistry",10,Real Estate
1481, Digital Executive ,"BBA, Business Administration and Management",0,Health
1482, Content Creator,"BTech, urban and regional planning",8,Advertising & Marketing
1483, Communications Manager,"BS, Computer Technology",7,Advertising & Marketing
1484, Account Manager,"BS, Computer Science",7,Food & Beverage
1485, Founder ,"Bachelor of Science - BS, Sociology",5,Media
1486, Social Media Manager,Bsc,8,Construction
1487, Social Media Manager ,BSc. Electrical/Electronics Engineering,10,Software
1488, Imperial Beverages Limited,BSC Mass Communication ,10,Retail
1489, Product Marketing Manager,BSc (ED) Economics,3,IT Management
1490, Content Manager ,BSc Economics,10,Energy
1491, Content Creator ,Bsc. Geology and Mineral Sciences,3,Education
1492, The Personal Assistant,Bsc. Marketing ,10,Telecommunications
1493, Social Media Manager and content ...,Bsc. Petroleum engineering ,10,Software
1494, Social media ads specialist,Bsc. Sociology,10,Logistics & Transportation
1495, Content Creator ,BSc Computer science/Cybersecutity ,10,Software
1496, Synergy University Dubai,BSc Industrial Chemistry ,5,Software
1497, Social Media Manager,"Bsc, Clinical Laboratory Science",10,Health
1498, Senior Content Manager ,"Bsc, Microbiology",10,Software
1499, Digital marketing and brand specialist,"BSc, Nursing ",7,Advertising & Marketing
1500, Deputy Team Lead ,"BSc, Biochemistry",10,IT System Development
1501, Social Media Manager,BSc. Law,10,Software
1502, Social Media Manager ,"Bachelors of Medicine, Bachelors of Surgery",10,Software
1503, Digital Media Manager/Content ...,B.Tech Applied Geology,10,Software
1504, Content Manager ,Bsc. Marketing ,6,Business Products & Services
1505, Content Manager ,Bsc. Chemical Engineering ,10,Advertising & Marketing
1506, Head of Marketing and Operations,BSc Statistics ,5,Health
1507, Oap ,BSc Computer science ,6,Retail
1508, Content Creator ,B.Arch Architecture ,7,Consumer Products & Services
1509, Strategy and Insights Manager West Africa,BSc Human Physiology,5,Health
1510, Digital Marketer/ Social Media Manager,BSc Chemical Engineering ,6,Government Services
1511, Social Media Executive,BE Civil Engineering,7,Travel & Hospitality
1512, Supervisor ,BSc Tourism Management ,8,Financial Services
1513, Social Media Manager ,B.eng  Petroleum Engineering ,6,Telecommunications
1514, Sales Executive ,BSc Chemistry,5,Government Services
1515, Digital Marketing Manager ,BSc Economics,5,Financial Services
1516, Founder ,BSc Economics,10,IT Management
1517, Castle Block Media International,BSc Linguistics and communication studies,6,Advertising & Marketing
1518, Social Media Manager ,B.Ed Education Mathematics ,5,Travel & Hospitality
1519, Digital Content Manager,BA History and diplomatic studies,4,Retail
1520, Online Manager ,BSc Music,5,Consumer Products & Services
1521, Personal Assistant ,BSc Biochemistry ,0,Financial Services
1522, Social Media Manager,BSc Biochemistry ,7,Business Products & Services
1523, Social Media/Content & Brand ...,BSc International relations and affairs,5,Media
1524, Content Creator ,BSc Pure ad Industrial chemistry,8,Retail
1525, Social Media Manager,BSc Human Resource management ,8,Software
1526, ACEROYAL ESTATE HOMES LTD,"BS, Metallurgical Engineering",9,Construction
1527, Owner ,BASc Real Estate,8,Construction
1528, Digital Marketing Manager,BE. Agricultural Engineering ,6,Real Estate
1529, Social Media Manager. ,BSc Entrepreneurship studies,7,Business Products & Services
1530, Content Creator ,BSc Accounting,7,IT System Development
1531, Medical Intern ,B.Tech. Food Science and Technology ,6,Consumer Products & Services
1532, Social Media Strategist,BSc Biochemistry ,6,Financial Services
1533, Content Writer & Social Media Manager,BSc Industrial Chemistry ,6,Real Estate
1534, Community Manager ,Mechanical Engineering ,6,Education
1535, Aston University ,BSc Biochemistry ,3,Media
1536, Content Creator,BSc Economics ,5,Consumer Products & Services
1537, Content Writer ,BSc Mechanical Engineering ,7,Business Products & Services
1538, Social media manager ...,BE Electrical and Electronics Engineering ,2,Advertising & Marketing
1539, Head of Content ,Bsc Physics and Mathematics ,15,Construction
1540, Community Manager ,Bsc Sociology ,3,Health
1541, Social Media Manger ,BE Electrical and Electronics Engineering ,5,Real Estate
1542, Content & Social Media Associate,Bsc Industrial Microbiology ,10,Food & Beverage
1543, Communication Associate,Bsc Integrated Marketing Communications ,3,Software
1544, Social Media Manager ,Bsc Applied Microbiology and Brewing,7,Government Services
1545, Social Media Manager,B.Tech Applied Geology,5,Business Products & Services
1546, Senior Product Marketing Manager,B.Tech Physics electronics,5,Logistics & Transportation
1547, Digital Product Manager ,,8,Business Products & Services
1548, Influencer Recruit ,BSc Microbiology,8,Business Products & Services
1549, Member ,BA Religious studies,10,Human Resources
1550," Senior Producer, Commercial Video ",BSc Biochemistry,0,IT System Development
1551, Digital Marketing Manager,BSc Pure and applied biology,3,Advertising & Marketing
1552, Communication Officer ,BSc Food Science and Technology ,3,Construction
1553, Content Creator ,BE Biomedical Engineering,0,Business Products & Services
1554, Partner ,BSc Computer Science,3,Advertising & Marketing
1555, University of Hertfordshire,BSc Computer Science,5,Logistics & Transportation
1556, Social Media Manager ,B.Tech Microbiology,4,Financial Services
1557, Executive Assistant ,BSc Computer Science,7,Health
1558, Social Media Manager ,BSc Computer Science,5,Financial Services
1559, Communications Designer,BSc Computer Science,0,Government Services
1560, Community Manager ,"B.Eng Electrical, Electronics & Communications Engineering",4,Security
1561, Senior Reporter ,"MD, Veterinary Medicine (in view)",4,Real Estate
1562, Social Media Manager ,BSc Computer Science and Education ,3,Financial Services
1563, Founder/ Director ,BSc Biochemistry,0,Construction
1564, Content Creator ,BSc Medical laboratory science,5,Telecommunications
1565, Social Media Specialist ,BTech Petroleum Engineering ,3,IT Management
1566, YouTube Channel Manager,BTech Chemical Engineering ,6,Logistics & Transportation
1567," Freelance Social Media Manager, Graphic ...",BSc Computer Science,8,Engineering
1568, Creative Director ,BSc Cell Biology and Genetics,2,Food & Beverage
1569, Digital Consultant ,BSc. Mechanical Engineering ,8,Business Products & Services
1570, Social Medial Marketing | Content Creator,BSc. Architecture,1,Health
1571, Project Manager/Producer ,BSc. Biochemistry,10,Real Estate
1572, Brand Manager ,Bsc Geology and Mineral Science,5,IT Management
1573, Social Media Manager || Digital Creator,BSc Banking and Finance,0,Advertising & Marketing
1574, Content Coordinator ,BA Mass communication & Media studies,7,Financial Services
1575, Marketing & Communications ...,BSc Computer science ,10,Business Products & Services
1576, Social Media Manager,BSc Computer science ,3,Retail
1577, Social Media Manager ,Bsc.Statistics ,7,Security
1578, Social Media Lead ,Bsc.Geology and Mineral Science ,8,Government Services
1579, Account Manager ,Bsc.Biochemistry ,2,Education
1580, Marketing Lead ,BE.Civil Drafting and Civil Engineering ,4,Logistics & Transportation
1581, Talent and Player Recruitment Lead,Bsc.Accounting ,5,Business Products & Services
1582, Motherboard (formerly roHealth),Bsc.Finance,7,Advertising & Marketing
1583, Snr. Account Manager ,Bsc Agriculture ,10,Construction
1584, Head of Social Media ,Bsc.Petroleum Engineering ,3,Consumer Products & Services
1585, Overall Brand Marketing Manager,BE.Chemical Engineering ,7,Security
1586, Social Media Manager,Bsc.Biochemistry ,7,Health
1587, Social Media Manager ,"BE,Civil Engineering ",5,Logistics & Transportation
1588, INFLUENCER MAKETER ,Bsc.Biochemistry ,10,Telecommunications
1589, Product Manager Teacher ,"BE,Civil Engineering ",3,Health
1590, Content Creator ,,6,Consumer Products & Services
1591, Marketing Content Specialist,BSc Computer Science,4,Advertising & Marketing
1592, Social Media Manager,BSc Food Engineering,7,Insurance
1593, Marketing Executive,BSc Computer Science,10,Health
1594,Engineering and Performance Monitoring,BE. Agricultural and Bioresources engineering ,5,Software
1595,Chief Executive Officer,BE. Chemical Engineering ,8,Consumer Products & Services
1596,"Head, Growth and Product Marketing",BA Fine Arts and design,8,Health
1597,Executive trainee,BS Plant Science and Biotechnology ,5,Manufacturing
1598,Student Intern,BSc Physiology,8,Retail
1599,Marketing Intern,BTech Industrial and Product Design ,7,Financial Services
1600,Senior Executive Assistant,"BE,French and Education",5,Government Services
1601,Student,Bsc.Marketing ,0,Financial Services
1602,Graduate Assistant,Bsc.Economics ,5,Financial Services
1603,Freelance writer,BSc Business Administration and Management ,7,Health
1604,Graphics designer,BA Mass commuication/Media studies,4,Construction
1605,Digital Marketing Specialist,BA English Language/ Literature ,2,Health
1606,Chief Technology Officer,BA Combined Arts,5,Advertising & Marketing
1607,Programme Manager,B.Eng. Electronics and computer Engineering ,6,Health
1608,Graphics designer,B.Eng. Mechanical Engineering ,3,IT Management
1609,-,"BA,Bachelor of Art",3,Government Services
1610,Data Annotator,Bsc.Geography ,8,Health
1611,Assistant ,"BE,Electrical and Electronics Engineering ",7,Business Products & Services
1612,-,Bsc.Computer Science ,5,Human Resources
1613,Sales Coordinator,BA.History ,0,Software
1614,HEALTH GUIDANCE,Bsc.Sociology ,10,IT Management
1615,-,Bsc. Physiology,1,Business Products & Services
1616,Administrative Staff,Bsc. Microbiology,8,Advertising & Marketing
1617,Supervisor and tourist manager,"B.Sc, International Public Health/International Health",5,Engineering
1618,Data Analyst ,"BS, Biochemistry",0,Financial Services
1619,Project management intern,Bachelor of Industrial Mathematics,5,Financial Services
1620,Station Manager,"BScEd, Home Economics",12,Advertising & Marketing
1621,Canteen Trainee Manager,Bsc.Psychology ,4,Advertising & Marketing
1622,Freelance ,Bsc.Mass Communication ,3,Retail
1623,,Bsc.Biology/Biological ,4,Construction
1624,Research associate/Hardware Design Engineer ,Bsc.Electrical and Electronics Engineering ,10,Health
1625,Teacher,"Bsc,Economics ",5,Government Services
1626,Administrator,Bsc.Sociology ,2,Business Products & Services
1627,Data Analyst,Bsc.Computer Science ,5,Media
1628,Sr DevSecOps Engineer,Bsc.Mass Communication ,8,Health
1629,CEO,Bsc.Computer Science ,3,Real Estate
1630,Operations Manager ,"BA,  Linguistics ",5,IT Management
1631,Product Manager ,"BA,  Linguistics ",9,Software
1632,"Talent Acquisition and development Manager Nigeria,Kenya",B.Eng Mechanical Engineering ,3,IT Management
1633,Marketing and communications strategist ,"BASc, Management Information Systems",15,IT Management
1634,Product designer,"BSc City/Urban, Community and Regional Planning",0,Food & Beverage
1635,Digital Marketing Specialist,BSc. Computer Science,7,Food & Beverage
1636,Insurance Manager,B.Tech. Computer Engineering,10,Health
1637,Technology coach,BSc Fishing and Fisheries Sciences and Management,10,IT System Development
1638,Content Email and Social Media Executive ,BSc Geology/Earth Science,7,Logistics & Transportation
1639,Commuity Manager,"Bachelor's degree, Public Administration",8,Consumer Products & Services
1640,Senior Product Designer,"BS, Computer Science",5,Government Services
1641,Senior Product Designer,"Bachelor of Arts - BA, Linguistics
",0,Business Products & Services
1642,Product Designer,BA Linguistics ,5,Telecommunications
1643,Design lead,BSc Microbiology,6,Health
1644,Product Designer,BA Business Management ,7,Business Products & Services
1645,Senior Product Designer,BSc Social sciences,3,Health
1646,Volunteer,BA.Philosophy ,6,Construction
1647,Lead designer,Bsc.Economics ,2,Financial Services
1648,Freelance motion Designer,"LLB,Law ",7,Construction
1649,"Graphic Designer, Photographer",Bsc.Computer Science ,6,Advertising & Marketing
1650,UI/UX designer,Bsc.Biochemistry ,5,Advertising & Marketing
1651,Product Designer,Bsc.Economics ,5,Advertising & Marketing
1652,Product Designer,Bsc.Accounting ,6,Logistics & Transportation
1653,Product Designer,Bsc.Business Administration and Management ,5,IT Management
1654,Founder,Bsc.Marine Biology,10,Software
1655,Product Designer,"BA,Linguistics ",8,Manufacturing
1656,Creative Designer,"BASc, Computer Science",11,Advertising & Marketing
1657,Customer success asssociate,B.Eng. Electrical and Electronics Engineering,10,Business Products & Services
1658,Research Fellow,"Bachelor's degree, Systems Engineering",6,Retail
1659,UX design Intern,"Bachelor degree, Banking and Finance",5,Software
1660,Senior Business Analyst,"BS, Geophysics",5,Retail
1661,Graphics designer,"BSc, Geography and Environmental Management",3,Construction
1662,Product Design lead,"BE, Mechanical Engineering",4,Software
1663,,B.s.c Mass communications ,5,Logistics & Transportation
1664,Backend Machine Learning Developer,"Bsc, Computer Science",8,Business Products & Services
1665,Research Assistant ,"BTech, Computer Engineering",5,Software
1666,Brand Retail Executive,"BS, Agricultural and Environmental Engineering",6,Construction
1667,Graduate Civil Engineering ,"BSc, Computer Science",0,Telecommunications
1668,Audit Trainee,B.Sc. Electrical and Electronics Engineering,6,Advertising & Marketing
1669,Financial Service consultant ,"BE, Computer Engineering",4,Retail
1670,Personal Assistant ,"BE, Computer Engineering",5,Software
1671,Process Engineer ,"Bachelor's degree, Economics",5,Financial Services
1672,Plant operations and Maintenance ,"BBA, Business Analytics",6,IT System Development
1673,"Quality Assurance,Quality Control Supervisor ","BS, Computer Science",10,Software
1674,Civil Structure Engineer,"Bachelor's degree, Accounting",10,Energy
1675,Procurement Service Advisor,"BA, English Language and Literature",8,Business Products & Services
1676,Head of Information Technology,"Bachelor’s Degree, Cinematography and Film/Video Production",5,Business Products & Services
1677,Head of IT,"BE, mechantronics engineering",5,Software
1678,Product Designer,BSc Electrical and Electronics Engineering ,5,Consumer Products & Services
1679,UI/UX Design Intern,"Bachelor’s Degree, Electrical and Electronics Engineering",6,IT System Development
1680,Product Designer,"BSc. (hons), Electrical & Electronic Engineering",5,Software
1681,Co-founder ,"BE, Electrical and Electronics Engineering",5,Government Services
1682,Senior User Interface Designer ,B Tech. in Quantity Surveying,7,Construction
1683,Content Writer,"BS, Computer Science",4,Advertising & Marketing
1684,,"BS, Computer Science",5,Human Resources
1685,Product designer ,"BA, English Language and Literature, General",3,Health
1686,Product designer,"BE, Mechanical Engineering",8,Education
1687,,"Bachelor's degree, Mass Communication/Media Studies",0,Travel & Hospitality
1688,Learning and development Associate,"Bachelor of Science (B.Sc.), Computer Science",4,Construction
1689,Senior Recruiter,B.Sc. Computer Science,5,Software
1690,Senior Product Manager,"BSc, Cell Biology, Molecular Biology, and Genetics",10,Financial Services
1691,Affiliate Marketing Specialist,"BS, Biochemistry",10,Health
1692,Digital entrepreneur,"BEd, Guidance and counseling ",10,Environmental Services
1693,Product Designer,"Bachelor's degree, Biochemistry",2,Energy
1694,Health Writer Contributor,LLB. Law,10,Education
1695,Lead Visual designer,"BS, Biology/Biological Sciences, 
",12,Health
1696,"Head, Talent Development and Outsourcing","Bachelor's degree, Natural Sciences( Microbiology)
",2,Engineering
1697,Geoscientist Intern,"BSc, Accounting",8,IT Management
1698,Product Owner,B.Sc Accounting,5,Food & Beverage
1699,Scrum Master,"BA, Mass Communication/Media Studies",10,Business Products & Services
1700,Software Engineer team lead,"BS, Accounting",8,Software
1701,Software Engineer,"Bachelor of Laws - LLB, Law",10,Advertising & Marketing
1702,Software Engineer ,"BS, Geography",7,Software
1703,Frontend Engineer,"Bachelor's degree, civil engineering",5,Food & Beverage
1704,Lead UX Designer ,"BE, Electrical and Electronics Engineering",10,Human Resources
1705,Product Designer,"BSc, Biochemistry",7,Software
1706,Technology Advocate,"BTech, urban and regional planning",3,Retail
1707,Customer success associate,"BS, Computer Science",10,Health
1708,Customer success associate,"Bachelor of Science - BS, Sociology",10,Advertising & Marketing
1709,Finance Operations Analyst for Paystack,"B.Sc, Microbiology, General",9,Business Products & Services
1710,Product Designer,Bachelor of Industrial Mathematics,8,Software
1711,Product Designer,BSc Computer Science,2,Construction
1712,Product Design Lead - Payments,BS Marine Biology and Biological ,10,Health
1713,Ux Researcher,Bsc.Psychology ,9,Consumer Products & Services
1714,User Experience Researcher ,Bsc.Psychology ,5,Telecommunications
1715,User Experience Researcher ,Bsc.Mass Communication ,10,Retail
1716,Ux Researcher,Bsc.Biology/Biological ,0,Construction
1717,"Divisional Head-Design,Research and User Experience",Bsc.Electrical and Electronics Engineering ,10,Logistics & Transportation
1718,Brand Design Lead,"Bsc,Economics ",10,Business Products & Services
1719,Product Designer,Bsc.Sociology ,4,Advertising & Marketing
1720,Product Designer-Remote,Bsc.Computer Science ,6,IT Management
1721,"Senior Co-ordinator,UI/UX Design-Remote",Bsc.Computer Science ,6,Business Products & Services
1722,Product Designer,Bsc.Mass Communication ,4,Security
1723,Digital Marketing Consultant,Bsc.Computer Science ,10,Consumer Products & Services
1724,Product Designer,"BA,  Linguistics ",10,Security
1725,Lead Sales Funnel Strategist,"BA,  Linguistics ",7,Financial Services
1726,Technology Analyst,B.Eng Mechanical Engineering ,9,Consumer Products & Services
1727,Quality Assurance and Security Testing,"BASc, Management Information Systems",10,Human Resources
1728,Digital Marketing manager,"BSc City/Urban, Community and Regional Planning",7,Human Resources
1729,Creative Designer,B.Tech. Computer Engineering,5,Software
1730,Brand Designer,BSc Geology/Earth Science,5,Health
1731,Campus Ambassador,BSc Electrical and Electronics Engineering ,0,Consumer Products & Services
1732,UI/UX designer,BA Theatre annd media arts,5,Advertising & Marketing
1733,Logistics and Supply Chain Officer,"Bachelor's degree, Public Administration",5,Construction
1734,Affiliate sales manager,"Bachelor's degree, political Science ",4,Real Estate
1735,President/founder ,BA Linguistics ,6,Insurance
1736,Human Resources Associate,BSc Microbiology,5,Health
1737,Advocacy and Communications Officer,BSc in Environmental Design,10,Computer Hardware
1738,Project Assistant ,BA Business Management ,10,Health
1739,Product Designer,BA.Philosophy ,10,Business Products & Services
1740,Economist,Bsc.Economics ,5,Construction
1741,Executive Personal Assistant ,Bsc.Micro Biology ,10,Advertising & Marketing
1742,Customers Service Representative ,Bsc.Biochemistry ,4,Advertising & Marketing
1743,,Bsc.Economics ,3,Business Products & Services
1744,President,Bsc.Accounting ,10,Consumer Products & Services
1745,Brand Manager ,Bsc.Biology and Biological Science,7,Logistics & Transportation
1746,Product Designer-Remote,Bsc.Business Administration and Management ,5,Human Resources
1747,Senior Associate/people Operations ,Bsc.Marine Biology,10,Education
1748,People Operation Associate ,"BA,Linguistics ",4,Software
1749,Software Engineer,B.Eng. Electrical and Electronics Engineering,10,Construction
1750,Software Engineer 2,"Bachelor's degree, Systems Engineering",0,IT Management
1751,Software Engineer ,"Bachelor degree, Banking and Finance",7,Logistics & Transportation
1752,Climate fellow,"BS, Geophysics",5,IT Management
1753,Senior Software Engineer,"BSc, Computer Science with Economics",5,Food & Beverage
1754,UI/UX designer,"BSc, Geography and Environmental Management",4,Business Products & Services
1755,Founder,"BS, Civil and Environmental Engineering",3,Software
1756,Co-Founder,"BE, Mechanical Engineering",7,Travel & Hospitality
1757,Product designer,B.s.c Mass communications ,2,Software
1758,Lead Product Designer,"Bsc, Computer Science",3,Health
1759,Creative Designer,"BTech, Computer Engineering",7,Software
1760,Senior Product Designer,"BS, Agricultural and Environmental Engineering",5,Software
1761,Design Manager Fellow,"BSc, Computer Science",8,Logistics & Transportation
1762,"Divisional Head, Design, Research & User Experience",B.Sc. Electrical and Electronics Engineering,10,Financial Services
1763,Full-stack Developer,"BE, Computer Engineering",3,Real Estate
1764,UI/UX Designer,"Bachelor's degree, Economics",3,Advertising & Marketing
1765,Virtual Assistant,"Bachelor's degree, Computer Engineering",5,Environmental Services
1766,Chief Executive Officer,"BBA, Business Analytics",0,Manufacturing
1767,Lead Desiger,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",7,Real Estate
1768,Executive Virtual Assistant,"Bachelor's degree, Accounting",7,Education
1769,Copywriter,"BA, English Language and Literature",2,Government Services
1770,Owner,"Bachelor’s Degree, Cinematography and Film/Video Production",2,Real Estate
1771,Research Development Department Specialist,"BE, Mechanical Engineering",7,Insurance
1772,Software Engineer ,"BTech, Computer Science",5,Real Estate
1773,Software Engineer,"Bachelor’s Degree, Electrical and Electronics Engineering",0,Construction
1774,Principal Software Engineering Manager,"BSc. (hons), Electrical & Electronic Engineering",4,IT System Development
1775,Product Manager,BSc Computer Science,5,IT System Development
1776,Senior Product Designer,"BE, Electrical and Electronics Engineering",10,IT System Development
1777,Partner,B Tech. in Quantity Surveying,2,Business Products & Services
1778,Product Design Lead,"BS, Computer Science",5,IT Management
1779,Senior Product Designer,"BE, Mechanical Engineering",10,Business Products & Services
1780,Product Business Development Manager,"Bachelor's degree, Mass Communication/Media Studies",6,Financial Services
1781,Software Engineer II,"Bachelor of Science (B.Sc.), Computer Science",10,Advertising & Marketing
1782,Technical Account Manager,B.Sc. Computer Science,7,Advertising & Marketing
1783,Stripe Certified Developer,"Bachelor of Engineering - BE, Electronic Engineering",0,Business Products & Services
1784,Software Engineer II - Edge Shopping,"BSc, Cell Biology, Molecular Biology, and Genetics",5,Business Products & Services
1785,"Analyst, Oil, Gas & Power Practice","BS, Biochemistry",5,Manufacturing
1786,Product Designer,"Chemistry/Education , Education",8,Advertising & Marketing
1787,Director,"BEd, Guidance and counseling ",5,IT Management
1788,Digital Marketing Manager,"Bachelor's degree, Biochemistry",10,Environmental Services
1789,,LLB. Law,6,IT Management
1790,Administrative Assistant,"B. Fisheries, Aquaculture",4,Food & Beverage
1791,Data Analyst,"BS, Biology/Biological Sciences, 
",3,Business Products & Services
1792,Regional E-Banking Sales Coordinator,bsc accounting,9,Construction
1793,Executive Trainee,bsc business administration,5,Software
1794,Accountant,bsc electrical engineering,7,Real Estate
1795,Senior Product Designer,bsc estate management,0,Food & Beverage
1796,Senior Product Designer,bsc environmental science,9,Advertising & Marketing
1797,Sr. Visual Designer,bsc geography,8,Manufacturing
1798,Product Designer,bsc geology,10,Business Products & Services
1799,User Experience Designer,bsc industrial chemistry,8,Government Services
1800,,bsc information technology,3,Human Resources
1801,,bsc mathematics,4,Advertising & Marketing
1802,,bsc mechanical engineering,4,Logistics & Transportation
1803,,bsc nursing,3,Health
1804,Design Mentor,bsc statistics,0,Financial Services
1805,Product Manager,bsc biochemistry,0,Software
1806,,bsc bioinformatics,10,Consumer Products & Services
1807,,bsc biomedical engineering,0,Software
1808,,bsc botany,4,Real Estate
1809,Product Designer,bsc chemical engineering,5,Advertising & Marketing
1810,Associate Product Manager,bsc computer engineering,2,Advertising & Marketing
1811,National Account Manager,bsc electronic engineering,5,Advertising & Marketing
1812,Senior Program Officer,bsc geophysics,4,Food & Beverage
1813,Graphics Designer,bsc marine science,0,Software
1814,CTO and Co-Founder,bsc marketing,7,Manufacturing
1815,Product Designer,bsc mass communication,10,Food & Beverage
1816,Program Analyst,bsc medical laboratory science,5,IT Management
1817,Information Technology Operations Engineer,bsc meteorology,1,Security
1818,Country Manager ATL South Africa,bsc petroleum engineering,10,IT Management
1819,Research Assistant,bsc pharmacy,10,Government Services
1820,Program Coordinator,bsc plant science,10,Software
1821,Senior Product Designer,bsc polymer science and technology,3,Government Services
1822,Chief Executive Officer,bsc public health,10,Financial Services
1823,Product Designer,bsc quantity surveying,5,Business Products & Services
1824,Social Media Marketing Specialist,bsc radiological science,10,Government Services
1825,Life Coach,bsc surveying and geoinformatics,0,Software
1826,Search Engine Optimization Executive,BSc Economics,10,Business Products & Services
